mp_id,full_name,club,mandate_status,district_number,label,count,url
080,Bronisław Foltyn,Konfederacja,aktywny,27,Wypowiedzi łącznie,38,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=080&type=P&symbol=WYPOWIEDZI_POSLA
081,Roman Fritz,Konfederacja_KP,aktywny,30,Wypowiedzi,240,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=081&type=P&symbol=WYPOWIEDZI_POSLA
082,Joanna Frydrych,KO,aktywny,22,Wypowiedzi,47,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=082&type=P&symbol=WYPOWIEDZI_POSLA
083,Konrad Frysztak,KO,aktywny,17,Wypowiedzi,44,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=083&type=P&symbol=WYPOWIEDZI_POSLA
084,Patryk Gabriel,KO,aktywny,25,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=084&type=P&symbol=WYPOWIEDZI_POSLA
085,Krzysztof Gadowski,KO,aktywny,30,Wypowiedzi,70,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=085&type=P&symbol=WYPOWIEDZI_POSLA
086,Aleksandra Gajewska,KO,aktywny,19,Wypowiedzi łącznie,30,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=086&type=P&symbol=WYPOWIEDZI_POSLA
087,Kinga Gajewska,KO,aktywny,20,Wypowiedzi,10,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=087&type=P&symbol=WYPOWIEDZI_POSLA
088,Elżbieta Gapińska,KO,aktywny,16,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=088&type=P&symbol=WYPOWIEDZI_POSLA
089,Kamila Gasiuk-Pihowicz,KO,wygasl,18,Wypowiedzi,18,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=089&type=P&symbol=WYPOWIEDZI_POSLA
